round=2200 elapsed=84.0s
round=2210 elapsed=84.4s
round=2220 elapsed=84.7s
round=2230 elapsed=85.1s
round=2240 elapsed=85.5s
round=2250 elapsed=85.9s
round=2260 elapsed=86.3s
round=2270 elapsed=86.7s
round=2280 elapsed=87.0s
round=2290 elapsed=87.4s
round=2300 elapsed=87.8s
round=2310 elapsed=88.2s
round=2320 elapsed=88.6s
round=2330 elapsed=89.0s
round=2340 elapsed=89.3s
round=2350 elapsed=89.7s
mode=mine m=37 threads=16384 grid=64 target=90s seed=987654321
rounds=2358 elapsed=90.0s best_bad=1073741824 found=0 total_configs=38633472
bad_hist (bin:count [avg_heat, avg_x, avg_s]):
  264:          1   [0.0278, 244.00, 20.00]
  272:          1   [0.0417, 240.00, 32.00]
  276:          1   [0.0602, 256.00, 20.00]
  280:          6   [0.0262, 245.33, 34.67]
  284:         10   [0.0343, 245.60, 38.40]
  288:          8   [0.0318, 257.00, 31.00]
  292:          9   [0.0273, 266.67, 25.33]
  296:         21   [0.0331, 262.29, 33.71]
  300:         26   [0.0308, 264.46, 35.54]
  304:         50   [0.0336, 268.48, 35.52]
  308:         83   [0.0292, 274.31, 33.69]
  312:        109   [0.0314, 278.72, 33.28]
  316:        143   [0.0307, 279.78, 36.22]
  320:        206   [0.0300, 284.27, 35.73]
  324:        305   [0.0311, 287.25, 36.75]
  328:        455   [0.0309, 290.04, 37.96]
  332:        633   [0.0306, 293.38, 38.62]
  336:        837   [0.0315, 297.45, 38.55]
  340:       1225   [0.0310, 300.64, 39.36]
  344:       1556   [0.0313, 304.18, 39.82]
  348:       2189   [0.0310, 307.63, 40.37]
  352:       2693   [0.0308, 310.78, 41.22]
  356:       3665   [0.0305, 314.05, 41.95]
  360:       4773   [0.0310, 317.15, 42.85]
  364:       5953   [0.0307, 321.02, 42.98]
  368:       7506   [0.0304, 324.25, 43.75]
  372:       9504   [0.0307, 327.35, 44.65]
  376:      11888   [0.0307, 331.17, 44.83]
  380:      14547   [0.0306, 334.15, 45.85]
  384:      18034   [0.0306, 337.42, 46.58]
  388:      22076   [0.0304, 341.06, 46.94]
  392:      26589   [0.0302, 344.21, 47.79]
  396:      31831   [0.0303, 347.51, 48.49]
  400:      37922   [0.0303, 350.86, 49.14]
  404:      44860   [0.0303, 354.22, 49.78]
  408:      52781   [0.0303, 357.58, 50.42]
  412:      61337   [0.0301, 360.79, 51.21]
  416:      71963   [0.0301, 364.21, 51.79]
  420:      82707   [0.0300, 367.53, 52.47]
  424:      94885   [0.0300, 370.87, 53.13]
  428:     108066   [0.0300, 374.00, 54.00]
  432:     122534   [0.0299, 377.35, 54.65]
  436:     137859   [0.0298, 380.60, 55.40]
  440:     153457   [0.0297, 383.87, 56.13]
  444:     171403   [0.0296, 387.18, 56.82]
  448:     190702   [0.0296, 390.45, 57.55]
  452:     209803   [0.0295, 393.66, 58.34]
  456:     230088   [0.0295, 396.91, 59.09]
  460:     251396   [0.0294, 400.15, 59.85]
  464:     273066   [0.0293, 403.46, 60.54]
  468:     295784   [0.0293, 406.68, 61.32]
  472:     319909   [0.0292, 409.88, 62.12]
  476:     341906   [0.0291, 413.09, 62.91]
  480:     365771   [0.0290, 416.34, 63.66]
  484:     390241   [0.0290, 419.52, 64.48]
  488:     411431   [0.0290, 422.75, 65.25]
  492:     435548   [0.0288, 425.95, 66.05]
  496:     458957   [0.0288, 429.21, 66.79]
  500:     481768   [0.0287, 432.37, 67.63]
  504:     504061   [0.0287, 435.59, 68.41]
  508:     523530   [0.0286, 438.73, 69.27]
  512:     544242   [0.0285, 442.00, 70.00]
  516:     564581   [0.0284, 445.12, 70.88]
  520:     581474   [0.0284, 448.31, 71.69]
  524:     597855   [0.0283, 451.42, 72.58]
  528:     614701   [0.0282, 454.67, 73.33]
  532:     627017   [0.0281, 457.78, 74.22]
  536:     640068   [0.0281, 460.89, 75.11]
  540:     651154   [0.0280, 464.16, 75.84]
  544:     660057   [0.0279, 467.26, 76.74]
  548:     670146   [0.0279, 470.38, 77.62]
  552:     675320   [0.0278, 473.52, 78.48]
  556:     679093   [0.0277, 476.73, 79.27]
  560:     682556   [0.0276, 479.86, 80.14]
  564:     685487   [0.0275, 482.93, 81.07]
  568:     684793   [0.0275, 486.05, 81.95]
  572:     682720   [0.0274, 489.19, 82.81]
  576:     680602   [0.0273, 492.28, 83.72]
  580:     676820   [0.0272, 495.40, 84.60]
  584:     671767   [0.0272, 498.43, 85.57]
  588:     664284   [0.0271, 501.54, 86.46]
  592:     657317   [0.0270, 504.70, 87.30]
  596:     648843   [0.0269, 507.79, 88.21]
  599:   17401907   [0.0256, 572.73, 109.66]
best configs (bad, cells):
