round=2200 elapsed=84.1s
round=2210 elapsed=84.5s
round=2220 elapsed=84.9s
round=2230 elapsed=85.3s
round=2240 elapsed=85.6s
round=2250 elapsed=86.0s
round=2260 elapsed=86.4s
round=2270 elapsed=86.8s
round=2280 elapsed=87.2s
round=2290 elapsed=87.6s
round=2300 elapsed=87.9s
round=2310 elapsed=88.3s
round=2320 elapsed=88.7s
round=2330 elapsed=89.1s
round=2340 elapsed=89.5s
round=2350 elapsed=89.9s
round=2360 elapsed=90.2s
round=2370 elapsed=90.6s
round=2380 elapsed=91.0s
round=2390 elapsed=91.4s
round=2400 elapsed=91.8s
round=2410 elapsed=92.2s
round=2420 elapsed=92.5s
round=2430 elapsed=92.9s
round=2440 elapsed=93.3s
round=2450 elapsed=93.7s
round=2460 elapsed=94.1s
round=2470 elapsed=94.5s
round=2480 elapsed=94.8s
round=2490 elapsed=95.2s
round=2500 elapsed=95.6s
round=2510 elapsed=96.0s
round=2520 elapsed=96.4s
round=2530 elapsed=96.8s
round=2540 elapsed=97.1s
round=2550 elapsed=97.5s
round=2560 elapsed=97.9s
round=2570 elapsed=98.3s
round=2580 elapsed=98.7s
round=2590 elapsed=99.0s
round=2600 elapsed=99.4s
round=2610 elapsed=99.8s
round=2620 elapsed=100.2s
round=2630 elapsed=100.6s
round=2640 elapsed=101.0s
round=2650 elapsed=101.4s
round=2660 elapsed=101.7s
round=2670 elapsed=102.1s
round=2680 elapsed=102.5s
round=2690 elapsed=102.9s
round=2700 elapsed=103.3s
round=2710 elapsed=103.7s
round=2720 elapsed=104.0s
round=2730 elapsed=104.4s
round=2740 elapsed=104.8s
round=2750 elapsed=105.2s
round=2760 elapsed=105.6s
round=2770 elapsed=106.0s
round=2780 elapsed=106.3s
round=2790 elapsed=106.7s
round=2800 elapsed=107.1s
round=2810 elapsed=107.5s
round=2820 elapsed=107.9s
round=2830 elapsed=108.2s
round=2840 elapsed=108.6s
round=2850 elapsed=109.0s
round=2860 elapsed=109.4s
round=2870 elapsed=109.8s
round=2880 elapsed=110.2s
round=2890 elapsed=110.5s
round=2900 elapsed=110.9s
round=2910 elapsed=111.3s
round=2920 elapsed=111.7s
round=2930 elapsed=112.1s
round=2940 elapsed=112.5s
round=2950 elapsed=112.8s
round=2960 elapsed=113.2s
round=2970 elapsed=113.6s
round=2980 elapsed=114.0s
round=2990 elapsed=114.4s
round=3000 elapsed=114.8s
round=3010 elapsed=115.1s
round=3020 elapsed=115.5s
round=3030 elapsed=115.9s
round=3040 elapsed=116.3s
round=3050 elapsed=116.7s
round=3060 elapsed=117.0s
round=3070 elapsed=117.4s
round=3080 elapsed=117.8s
round=3090 elapsed=118.2s
round=3100 elapsed=118.6s
round=3110 elapsed=119.0s
