round=2200 elapsed=84.5s
round=2210 elapsed=84.9s
round=2220 elapsed=85.3s
round=2230 elapsed=85.7s
round=2240 elapsed=86.1s
round=2250 elapsed=86.5s
round=2260 elapsed=86.8s
round=2270 elapsed=87.2s
round=2280 elapsed=87.6s
round=2290 elapsed=88.0s
round=2300 elapsed=88.4s
round=2310 elapsed=88.8s
round=2320 elapsed=89.1s
round=2330 elapsed=89.5s
round=2340 elapsed=89.9s
mode=mine m=37 threads=16384 grid=64 target=90s seed=987654321
rounds=2343 elapsed=90.0s best_bad=1073741824 found=0 total_configs=38387712
bad_hist (bin:count [avg_heat, avg_x, avg_s]):
  264:          1   [0.0278, 244.00, 20.00]
  272:          1   [0.0417, 240.00, 32.00]
  276:          1   [0.0602, 256.00, 20.00]
  280:          6   [0.0262, 245.33, 34.67]
  284:         10   [0.0343, 245.60, 38.40]
  288:          8   [0.0318, 257.00, 31.00]
  292:          9   [0.0273, 266.67, 25.33]
  296:         21   [0.0331, 262.29, 33.71]
  300:         25   [0.0309, 264.48, 35.52]
  304:         50   [0.0336, 268.48, 35.52]
  308:         83   [0.0292, 274.31, 33.69]
  312:        108   [0.0315, 278.67, 33.33]
  316:        142   [0.0307, 279.97, 36.03]
  320:        205   [0.0300, 284.27, 35.73]
  324:        304   [0.0311, 287.24, 36.76]
  328:        453   [0.0309, 289.97, 38.03]
  332:        626   [0.0308, 293.41, 38.59]
  336:        835   [0.0315, 297.48, 38.52]
  340:       1221   [0.0310, 300.61, 39.39]
  344:       1543   [0.0313, 304.18, 39.82]
  348:       2176   [0.0310, 307.62, 40.38]
  352:       2672   [0.0308, 310.78, 41.22]
  356:       3636   [0.0305, 314.04, 41.96]
  360:       4740   [0.0310, 317.16, 42.84]
  364:       5914   [0.0307, 321.03, 42.97]
  368:       7452   [0.0304, 324.28, 43.72]
  372:       9437   [0.0307, 327.35, 44.65]
  376:      11821   [0.0307, 331.18, 44.82]
  380:      14465   [0.0306, 334.14, 45.86]
  384:      17913   [0.0306, 337.41, 46.59]
  388:      21927   [0.0304, 341.07, 46.93]
  392:      26437   [0.0302, 344.21, 47.79]
  396:      31649   [0.0303, 347.52, 48.48]
  400:      37694   [0.0303, 350.87, 49.13]
  404:      44565   [0.0303, 354.23, 49.77]
  408:      52420   [0.0303, 357.59, 50.41]
  412:      60993   [0.0302, 360.79, 51.21]
  416:      71510   [0.0301, 364.22, 51.78]
  420:      82217   [0.0300, 367.53, 52.47]
  424:      94306   [0.0300, 370.86, 53.14]
  428:     107331   [0.0300, 374.00, 54.00]
  432:     121737   [0.0299, 377.35, 54.65]
  436:     137004   [0.0298, 380.60, 55.40]
  440:     152498   [0.0297, 383.88, 56.12]
  444:     170343   [0.0296, 387.18, 56.82]
  448:     189495   [0.0296, 390.45, 57.55]
  452:     208463   [0.0295, 393.66, 58.34]
  456:     228622   [0.0295, 396.91, 59.09]
  460:     249774   [0.0294, 400.15, 59.85]
  464:     271345   [0.0293, 403.46, 60.54]
  468:     293854   [0.0293, 406.68, 61.32]
  472:     317826   [0.0292, 409.88, 62.12]
  476:     339741   [0.0291, 413.09, 62.91]
  480:     363491   [0.0290, 416.34, 63.66]
  484:     387808   [0.0290, 419.52, 64.48]
  488:     408812   [0.0290, 422.75, 65.25]
  492:     432803   [0.0289, 425.96, 66.04]
  496:     456110   [0.0288, 429.22, 66.78]
  500:     478766   [0.0287, 432.37, 67.63]
  504:     500882   [0.0287, 435.59, 68.41]
  508:     520148   [0.0286, 438.73, 69.27]
  512:     540800   [0.0285, 442.00, 70.00]
  516:     560993   [0.0284, 445.12, 70.88]
  520:     577760   [0.0284, 448.31, 71.69]
  524:     594061   [0.0283, 451.42, 72.58]
  528:     610740   [0.0282, 454.68, 73.32]
  532:     623009   [0.0281, 457.78, 74.22]
  536:     635920   [0.0281, 460.89, 75.11]
  540:     646968   [0.0280, 464.16, 75.84]
  544:     655803   [0.0279, 467.26, 76.74]
  548:     665985   [0.0279, 470.38, 77.62]
  552:     671011   [0.0278, 473.52, 78.48]
  556:     674795   [0.0277, 476.73, 79.27]
  560:     678271   [0.0276, 479.86, 80.14]
  564:     681042   [0.0275, 482.93, 81.07]
  568:     680526   [0.0275, 486.04, 81.96]
  572:     678424   [0.0274, 489.19, 82.81]
  576:     676204   [0.0273, 492.28, 83.72]
  580:     672434   [0.0272, 495.40, 84.60]
  584:     667389   [0.0272, 498.43, 85.57]
  588:     660045   [0.0271, 501.54, 86.46]
  592:     653156   [0.0270, 504.70, 87.30]
  596:     644663   [0.0269, 507.79, 88.21]
  600:     633652   [0.0269, 510.87, 89.13]
  604:     625114   [0.0268, 513.88, 90.12]
  608:     611051   [0.0267, 517.03, 90.97]
  612:     601584   [0.0267, 520.14, 91.86]
  616:     590310   [0.0266, 523.15, 92.85]
  620:     575590   [0.0265, 526.20, 93.80]
  624:     562189   [0.0265, 529.29, 94.71]
  628:     546639   [0.0264, 532.37, 95.63]
  632:     532028   [0.0263, 535.40, 96.60]
  636:     517409   [0.0262, 538.52, 97.48]
  640:     501160   [0.0262, 541.41, 98.59]
  644:     487641   [0.0261, 544.51, 99.49]
  648:     472190   [0.0260, 547.58, 100.42]
  652:     456785   [0.0260, 550.59, 101.41]
  656:     440999   [0.0259, 553.71, 102.29]
  660:     426273   [0.0259, 556.80, 103.20]
  664:     411351   [0.0258, 559.71, 104.29]
  668:     394860   [0.0257, 562.81, 105.19]
  672:     381463   [0.0256, 565.62, 106.38]
  676:     366411   [0.0256, 568.71, 107.29]
  680:     351859   [0.0255, 571.86, 108.14]
  684:     337589   [0.0255, 574.84, 109.16]
  688:     324007   [0.0254, 577.71, 110.29]
  692:     309866   [0.0253, 580.62, 111.38]
  696:     295909   [0.0253, 583.85, 112.15]
  700:     284339   [0.0252, 586.84, 113.16]
  704:     271930   [0.0252, 589.81, 114.19]
  708:     259096   [0.0251, 592.58, 115.42]
  712:     246935   [0.0250, 595.69, 116.31]
  716:     236174   [0.0250, 598.67, 117.33]
  720:     224888   [0.0249, 601.57, 118.43]
  724:     214896   [0.0248, 604.56, 119.44]
  728:     204083   [0.0248, 607.49, 120.51]
  732:     194828   [0.0247, 610.34, 121.66]
  736:     184477   [0.0247, 613.32, 122.68]
  740:     175988   [0.0247, 616.17, 123.83]
  744:     166616   [0.0246, 619.45, 124.55]
  748:     158064   [0.0245, 622.49, 125.51]
  752:     150097   [0.0245, 625.17, 126.83]
  756:     141516   [0.0244, 628.00, 128.00]
  760:     135422   [0.0244, 630.95, 129.05]
  764:     128107   [0.0243, 633.80, 130.20]
  768:     121898   [0.0243, 636.51, 131.49]
  772:     114047   [0.0243, 639.49, 132.51]
  776:     108589   [0.0242, 642.51, 133.49]
  780:     102911   [0.0242, 645.52, 134.48]
  784:      97753   [0.0242, 648.20, 135.80]
  788:      91323   [0.0240, 650.72, 137.28]
  792:      86529   [0.0240, 653.79, 138.21]
  796:      81936   [0.0240, 656.85, 139.15]
  800:      77510   [0.0239, 660.12, 139.88]
  804:      73424   [0.0239, 662.34, 141.66]
  808:      69183   [0.0239, 665.59, 142.41]
  812:      65149   [0.0238, 668.30, 143.70]
  816:      61770   [0.0238, 671.18, 144.82]
  820:      58533   [0.0236, 674.27, 145.73]
  824:      54866   [0.0238, 677.36, 146.64]
  828:      51837   [0.0237, 680.49, 147.51]
  832:      48796   [0.0235, 682.75, 149.25]
  836:      45776   [0.0236, 685.78, 150.22]
  840:      43795   [0.0236, 688.50, 151.50]
  844:      40904   [0.0235, 691.35, 152.65]
  848:      38472   [0.0234, 694.39, 153.61]
  852:      36535   [0.0234, 696.73, 155.27]
  856:      34143   [0.0233, 700.15, 155.85]
  860:      31829   [0.0233, 702.79, 157.21]
  864:      30471   [0.0234, 706.21, 157.79]
  868:      28206   [0.0233, 709.00, 159.00]
  872:      26706   [0.0233, 710.13, 161.87]
  876:      25134   [0.0231, 713.24, 162.76]
  880:      23700   [0.0231, 716.77, 163.23]
  884:      22505   [0.0233, 719.20, 164.80]
  888:      20924   [0.0231, 721.37, 166.63]
  892:      19690   [0.0231, 725.77, 166.23]
  896:      18690   [0.0230, 728.50, 167.50]
  900:      17631   [0.0229, 730.19, 169.81]
  904:      16420   [0.0229, 731.77, 172.23]
  908:      15517   [0.0232, 735.17, 172.83]
  912:      14784   [0.0231, 738.40, 173.60]
  916:      13758   [0.0230, 740.17, 175.83]
  920:      13039   [0.0229, 742.55, 177.45]
  924:      12197   [0.0231, 745.33, 178.67]
  928:      11597   [0.0230, 748.53, 179.47]
  932:      10914   [0.0231, 751.64, 180.36]
  936:       9985   [0.0230, 754.29, 181.71]
  940:       9784   [0.0229, 758.03, 181.97]
  944:       9122   [0.0229, 759.41, 184.59]
  948:       8347   [0.0227, 763.52, 184.48]
  952:       7964   [0.0229, 768.31, 183.69]
  956:       7626   [0.0227, 769.00, 187.00]
  960:       7130   [0.0227, 770.06, 189.94]
  964:       6738   [0.0229, 771.04, 192.96]
  968:       6217   [0.0229, 777.40, 190.60]
